Date,Close,adj close after change position,adj weight,position,total value,equity
2021-04-26,4187.6201171875,4187.6201171875,0,14.501086321267778,60725.04080001343,60725.04080001343
2021-04-27,4186.72021484375,4186.72021484375,0,14.501086321267778,60711.991238446,60711.991238446
2021-04-28,4183.18017578125,4183.18017578125,0,14.501086321267778,60660.656826420025,60660.656826420025
2021-04-29,4211.47021484375,4211.47021484375,0,14.501086321267778,61070.893124897375,61070.893124897375
2021-04-30,4181.169921875,4181.169921875,0,14.501086321267778,60631.50596099783,60631.50596099783
2021-05-03,4192.66015625,4192.66015625,0,14.501086321267778,60798.1268415213,60798.1268415213
2021-05-04,4164.66015625,4164.66015625,0,14.501086321267778,60392.0964245258,60392.0964245258
2021-05-05,4167.58984375,4167.58984375,0,14.501086321267778,60434.58007585764,60404.36278581971
2021-05-06,4201.6201171875,4216.6201171875,1,14.318144395288922,60159.40353204139,60159.40353204139
2021-05-07,4232.60009765625,4232.60009765625,0,14.318144395288922,60602.97936575618,60602.97936575618
2021-05-10,4188.43017578125,4188.43017578125,0,14.318144395288922,59970.548046421296,59970.548046421296
2021-05-11,4152.10009765625,4152.10009765625,0,14.318144395288922,59450.36874193542,59450.36874193542
2021-05-12,4063.0400390625,4063.0400390625,0,14.318144395288922,58175.193963137215,58175.193963137215
2021-05-13,4112.5,4112.5,0,14.318144395288922,58883.368825625694,58883.368825625694
2021-05-14,4173.85009765625,4173.85009765625,0,14.318144395288922,59761.788382532955,59761.788382532955
2021-05-17,4163.2900390625,4163.2900390625,0,14.318144395288922,59610.58793876493,59610.58793876493
2021-05-18,4127.830078125,4127.830078125,0,14.318144395288922,59102.8670978105,59102.8670978105
2021-05-19,4115.68017578125,4115.68017578125,0,14.318144395288922,58928.90304166403,58928.90304166403
2021-05-20,4159.1201171875,4159.1201171875,0,14.318144395288922,59550.882395241606,59550.882395241606
2021-05-21,4155.85986328125,4155.85986328125,0,14.318144395288922,59504.20160904661,59504.20160904661
2021-05-24,4197.0498046875,4197.0498046875,0,14.318144395288922,60093.96513773479,60093.96513773479
2021-05-25,4188.1298828125,4188.1298828125,0,14.318144395288922,59966.24840833384,59966.24840833384
2021-05-26,4195.990234375,4195.990234375,0,14.318144395288922,60078.794057003455,60078.794057003455
2021-05-27,4200.8798828125,4200.8798828125,0,14.318144395288922,60148.80474937378,60148.80474937378
2021-05-28,4204.10986328125,4204.10986328125,0,14.318144395288922,60195.052076119304,60195.052076119304
2021-06-01,4202.0400390625,4202.0400390625,0,14.318144395288922,60165.41603408237,60165.41603408237
2021-06-02,4208.1201171875,4208.1201171875,0,14.318144395288922,60252.47147061076,60252.47147061076
2021-06-03,4192.85009765625,4192.85009765625,0,14.318144395288922,60033.83312604344,60033.83312604344
2021-06-04,4229.89013671875,4229.89013671875,0,14.318144395288922,60564.17775374746,60564.17775374746
2021-06-07,4226.52001953125,4226.52001953125,0,14.318144395288922,60515.92392922779,60515.92392922779
2021-06-08,4227.259765625,4227.259765625,0,14.318144395288922,60526.515720613956,60526.515720613956
2021-06-09,4219.5498046875,4219.5498046875,0,14.318144395288922,60416.123386628795,60416.123386628795
2021-06-10,4239.18017578125,4239.18017578125,0,14.318144395288922,60697.19387448221,60697.19387448221
2021-06-11,4247.43994140625,4247.43994140625,0,14.318144395288922,60815.4583913722,60815.4583913722
2021-06-14,4255.14990234375,4255.14990234375,0,14.318144395288922,60925.85072535737,60925.85072535737
2021-06-15,4246.58984375,4246.58984375,0,14.318144395288922,60803.28657037992,60803.28657037992
2021-06-16,4223.7001953125,4223.7001953125,0,14.318144395288922,60475.549278894396,60475.549278894396
2021-06-17,4221.85986328125,4221.85986328125,0,14.318144395288922,60449.199139135686,60418.974539566116
2021-06-18,4166.4501953125,4181.4501953125,1,14.442066108353641,60172.149157866064,60172.149157866064
2021-06-21,4224.7900390625,4224.7900390625,0,14.442066108353641,61014.69703805459,61014.69703805459
2021-06-22,4246.43994140625,4246.43994140625,0,14.442066108353641,61327.366358942425,61327.366358942425
2021-06-23,4241.83984375,4241.83984375,0,14.442066108353641,61260.93144448598,61260.93144448598
2021-06-24,4266.490234375,4266.490234375,0,14.442066108353641,61616.93401548897,61616.93401548897
2021-06-25,4280.7001953125,4280.7001953125,0,14.442066108353641,61822.15521074547,61822.15521074547
2021-06-28,4290.60986328125,4290.60986328125,0,14.442066108353641,61965.27129066199,61965.27129066199
2021-06-29,4291.7998046875,4291.7998046875,0,14.442066108353641,61982.45650311612,61982.45650311612
2021-06-30,4297.5,4297.5,0,14.442066108353641,62064.77910064977,62064.77910064977
2021-07-01,4319.93994140625,4319.93994140625,0,14.442066108353641,62388.85821790642,62388.85821790642
2021-07-02,4352.33984375,4352.33984375,0,14.442066108353641,62856.779749459056,62856.779749459056
2021-07-06,4343.5400390625,4343.5400390625,0,14.442066108353641,62729.69238842158,62729.69238842158
2021-07-07,4358.1298828125,4358.1298828125,0,14.442066108353641,62940.39987636963,62940.39987636963
2021-07-08,4320.81982421875,4320.81982421875,0,14.442066108353641,62401.56554365215,62401.56554365215
2021-07-09,4369.5498046875,4369.5498046875,0,14.442066108353641,63105.32714304062,63105.32714304062
2021-07-12,4384.6298828125,4384.6298828125,0,14.442066108353641,63323.114628241005,63323.114628241005
2021-07-13,4369.2099609375,4369.2099609375,0,14.442066108353641,63100.419097136604,63100.419097136604
2021-07-14,4374.2998046875,4374.2998046875,0,14.442066108353641,63173.92695705529,63173.92695705529
2021-07-15,4360.02978515625,4360.02978515625,0,14.442066108353641,62967.838391617486,62967.838391617486
2021-07-16,4327.16015625,4327.16015625,0,14.442066108353641,62493.13303799637,62493.13303799637
2021-07-19,4258.490234375,4258.490234375,0,14.442066108353641,61501.39748662214,61501.39748662214
2021-07-20,4323.06005859375,4323.06005859375,0,14.442066108353641,62433.9191565941,62433.9191565941
2021-07-21,4358.68994140625,4358.68994140625,0,14.442066108353641,62948.488279605124,62948.488279605124
2021-07-22,4367.47998046875,4367.47998046875,0,14.442066108353641,63075.43460484076,63075.43460484076
2021-07-23,4411.7900390625,4411.7900390625,0,14.442066108353641,63715.36340031672,63715.36340031672
2021-07-26,4422.2998046875,4422.2998046875,0,14.442066108353641,63867.14613025627,63867.14613025627
2021-07-27,4401.4599609375,4401.4599609375,0,14.442066108353641,63566.17572913101,63566.17572913101
2021-07-28,4400.64013671875,4400.64013671875,0,14.442066108353641,63554.33577356659,63554.33577356659
2021-07-29,4419.14990234375,4419.14990234375,0,14.442066108353641,63821.655032372975,63821.655032372975
2021-07-30,4395.259765625,4395.259765625,0,14.442066108353641,63476.63209854318,63444.89378249391
2021-08-02,4387.16015625,4402.16015625,1,14.40501593265936,63197.11194990958,63197.11194990958
2021-08-03,4423.14990234375,4423.14990234375,0,14.40501593265936,63715.54481580241,63715.54481580241
2021-08-04,4402.66015625,4402.66015625,0,14.40501593265936,63420.3896968658,63420.3896968658
2021-08-05,4429.10009765625,4429.10009765625,0,14.40501593265936,63801.25747408141,63801.25747408141
2021-08-06,4436.52001953125,4436.52001953125,0,14.40501593265936,63908.14156690987,63908.14156690987
2021-08-09,4432.35009765625,4432.35009765625,0,14.40501593265936,63848.073775862555,63848.073775862555
2021-08-10,4436.75,4436.75,0,14.40501593265936,63911.454439226414,63911.454439226414
2021-08-11,4442.41015625,4442.41015625,0,14.40501593265936,63992.98908018901,63992.98908018901
2021-08-12,4460.830078125,4460.830078125,0,14.40501593265936,64258.32834827672,64258.32834827672
2021-08-13,4468.0,4468.0,0,14.40501593265936,64361.61118712202,64361.61118712202
2021-08-16,4479.7099609375,4479.7099609375,0,14.40501593265936,64530.29336099753,64530.29336099753
2021-08-17,4448.080078125,4448.080078125,0,14.40501593265936,64074.66439513532,64074.66439513532
2021-08-18,4400.27001953125,4400.27001953125,0,14.40501593265936,63385.95973935097,63385.95973935097
2021-08-19,4405.7998046875,4405.7998046875,0,14.40501593265936,63465.616382630935,63465.616382630935
2021-08-20,4441.669921875,4441.669921875,0,14.40501593265936,63982.32599222323,63982.32599222323
2021-08-23,4479.52978515625,4479.52978515625,0,14.40501593265936,64527.69792599794,64527.69792599794
2021-08-24,4486.22998046875,4486.22998046875,0,14.40501593265936,64624.214346226436,64624.214346226436
2021-08-25,4496.18994140625,4496.18994140625,0,14.40501593265936,64767.68774221979,64767.68774221979
2021-08-26,4470.0,4470.0,0,14.40501593265936,64390.421218987336,64390.421218987336
2021-08-27,4509.3701171875,4509.3701171875,0,14.40501593265936,64957.54838434394,64957.54838434394
2021-08-30,4528.7900390625,4528.7900390625,0,14.40501593265936,65237.292668364316,65237.292668364316
2021-08-31,4522.68017578125,4522.68017578125,0,14.40501593265936,65149.27999045154,65149.27999045154
2021-09-01,4524.08984375,4524.08984375,0,14.40501593265936,65169.586280001145,65169.586280001145
2021-09-02,4536.9501953125,4536.9501953125,0,14.40501593265936,65354.83984915856,65354.83984915856
2021-09-03,4535.43017578125,4535.43017578125,0,14.40501593265936,65332.943943592945,65332.943943592945
2021-09-07,4520.02978515625,4520.02978515625,0,14.40501593265936,65111.10107127065,65111.10107127065
2021-09-08,4514.06982421875,4514.06982421875,0,14.40501593265936,65025.24773900793,65025.24773900793
2021-09-09,4493.27978515625,4493.27978515625,0,14.40501593265936,64725.76689507201,64725.76689507201
2021-09-10,4458.580078125,4458.580078125,0,14.40501593265936,64225.91706242824,64225.91706242824
2021-09-13,4468.72998046875,4468.72998046875,0,14.40501593265936,64372.12656740489,64339.94050412119
2021-09-14,4443.0498046875,4458.0498046875,1,14.425093802944541,64091.410203771615,64091.410203771615
2021-09-15,4480.7001953125,4480.7001953125,0,14.425093802944541,64634.52062025474,64634.52062025474
2021-09-16,4473.75,4473.75,0,14.425093802944541,64534.26340092314,64534.26340092314
2021-09-17,4432.990234375,4432.990234375,0,14.425093802944541,63946.299958396485,63946.299958396485
2021-09-20,4357.72998046875,4357.72998046875,0,14.425093802944541,62860.66373616541,62860.66373616541
2021-09-21,4354.18994140625,4354.18994140625,0,14.425093802944541,62809.59834062275,62809.59834062275
2021-09-22,4395.64013671875,4395.64013671875,0,14.425093802944541,63407.52129615594,63407.52129615594
2021-09-23,4448.97998046875,4448.97998046875,0,14.425093802944541,64176.95354568409,64176.95354568409
2021-09-24,4455.47998046875,4455.47998046875,0,14.425093802944541,64270.71665540323,64270.71665540323
2021-09-27,4443.10986328125,4443.10986328125,0,14.425093802944541,64092.276554620126,64092.276554620126
2021-09-28,4352.6298828125,4352.6298828125,0,14.425093802944541,62787.09434906982,62787.09434906982
2021-09-29,4359.4599609375,4359.4599609375,0,14.425093802944541,62885.61886670438,62885.61886670438
2021-09-30,4307.5400390625,4307.5400390625,0,14.425093802944541,62136.66912341596,62136.66912341596
2021-10-01,4357.0400390625,4357.0400390625,0,14.425093802944541,62850.71126666171,62850.71126666171
2021-10-04,4300.4599609375,4300.4599609375,0,14.425093802944541,62034.53833233066,62034.53833233066
2021-10-05,4345.72021484375,4345.72021484375,0,14.425093802944541,62687.4217404734,62687.4217404734
2021-10-06,4363.5498046875,4363.5498046875,0,14.425093802944541,62944.61524643752,62944.61524643752
2021-10-07,4399.759765625,4399.759765625,0,14.425093802944541,63466.94732956192,63466.94732956192
2021-10-08,4391.33984375,4391.33984375,0,14.425093802944541,63345.489166701576,63345.489166701576
2021-10-11,4361.18994140625,4361.18994140625,0,14.425093802944541,62910.573997243366,62910.573997243366
2021-10-12,4350.64990234375,4350.64990234375,0,14.425093802944541,62758.5329450801,62758.5329450801
2021-10-13,4363.7998046875,4363.7998046875,0,14.425093802944541,62948.221519888255,62948.221519888255
2021-10-14,4438.259765625,4438.259765625,0,14.425093802944541,64022.31344097528,64022.31344097528
2021-10-15,4471.3701171875,4471.3701171875,0,14.425093802944541,64499.93336811281,64499.93336811281
2021-10-18,4486.4599609375,4486.4599609375,0,14.425093802944541,64717.60577967834,64717.60577967834
2021-10-19,4519.6298828125,4519.6298828125,0,14.425093802944541,65196.08501416156,65196.08501416156
2021-10-20,4536.18994140625,4536.18994140625,0,14.425093802944541,65434.96541275866,65434.96541275866
2021-10-21,4549.77978515625,4549.77978515625,0,14.425093802944541,65631.00018361976,65631.00018361976
2021-10-22,4544.89990234375,4544.89990234375,0,14.425093802944541,65560.60741630208,65560.60741630208
2021-10-25,4566.47998046875,4566.47998046875,0,14.425093802944541,65871.90206753007,65838.9661164963
2021-10-26,4574.7900390625,4589.7900390625,1,14.33748875763285,65591.00075358934,65591.00075358934
2021-10-27,4551.68017578125,4551.68017578125,0,14.33748875763285,65259.66334860399,65259.66334860399
2021-10-28,4596.419921875,4596.419921875,0,14.33748875763285,65901.11895524248,65901.11895524248
2021-10-29,4605.3798828125,4605.3798828125,0,14.33748875763285,66029.5822944527,66029.5822944527
2021-11-01,4613.669921875,4613.669921875,0,14.33748875763285,66148.44063631164,66148.44063631164
2021-11-02,4630.64990234375,4630.64990234375,0,14.33748875763285,66391.89091538716,66391.89091538716
2021-11-03,4660.56982421875,4660.56982421875,0,14.33748875763285,66820.86745889923,66820.86745889923
2021-11-04,4680.06005859375,4680.06005859375,0,14.33748875763285,67100.30847513443,67100.30847513443
2021-11-05,4697.52978515625,4697.52978515625,0,14.33748875763285,67350.7804833232,67350.7804833232
2021-11-08,4701.7001953125,4701.7001953125,0,14.33748875763285,67410.57369205313,67410.57369205313
2021-11-09,4685.25,4685.25,0,14.33748875763285,67174.7192016993,67174.7192016993
2021-11-10,4646.7099609375,4646.7099609375,0,14.33748875763285,66622.15182492198,66622.15182492198
2021-11-11,4649.27001953125,4649.27001953125,0,14.33748875763285,66658.85663622875,66658.85663622875
2021-11-12,4682.85009765625,4682.85009765625,0,14.33748875763285,67140.31062882638,67140.31062882638
2021-11-15,4682.7998046875,4682.7998046875,0,14.33748875763285,67139.58955395233,67139.58955395233
